Boo,Weekley,2017,1.0,27.0,71.08,416929.0,0.037037037037037035
Boo,Weekley,2018,,,,,
Boonchu,Ruangkit,2010,,,,,
Boonchu,Ruangkit,2011,,,,,
Boonchu,Ruangkit,2012,,,,,
Boonchu,Ruangkit,2013,,,,,
Boonchu,Ruangkit,2014,,,,,
Borja,Echart,2012,,,,,
Borja,Echart,2015,,,,,
Borja,Etchart,2011,,,,,
Borja,Virto Astudillo,2015,,,,,
Borja,Virto Astudillo,2016,,,,,
Borja,Virto Astudillo,2017,,,,,
Borja,Virto Astudillo,2018,,,,,
Boyd,Summerhays,2016,,,,,
Brad,Adamonis,2010,,,,12060.0,
Brad,Adamonis,2011,,,,5000.0,
Brad,Adamonis,2013,,,,11340.0,
Brad,Adamonis,2015,,,,,
Brad,Adamonis,2016,,,,,
Brad,Adamonis,2017,,,,,
Brad,Benjamin,2010,,,,,
Brad,Benjamin,2011,,,,,
Brad,Brunner,2017,,,,,
Brad,Clapp,2015,,,,,
Brad,Dalke,2016,,,,,
Brad,Dalke,2017,,,,,
Brad,Elder,2011,,,,,
Brad,Elder,2013,,,,,
Brad,Elder,2015,,,,25358.0,
Brad,Elder,2016,,,,,
Brad,Faxon,2010,,,72.71,120482.0,
Brad,Faxon,2011,,,,65000.0,
Brad,Faxon,2012,,,,60833.0,
Brad,Faxon,2013,,,,62500.0,
Brad,Faxon,2014,,,,60833.0,
Brad,Faxon,2015,,,,55000.0,
Brad,Faxon,2016,,,,50000.0,
Brad,Faxon,2017,,,,40000.0,
Brad,Faxon,2018,,,,40000.0,
Brad,Fritsch,2010,,,,,
Brad,Fritsch,2011,,,,15348.0,
Brad,Fritsch,2012,,,,25000.0,
Brad,Fritsch,2013,1.0,24.0,70.97,452184.0,0.041666666666666664
Brad,Fritsch,2014,3.0,18.0,70.58,624391.0,0.16666666666666666
Brad,Fritsch,2015,,,,37090.0,
Brad,Fritsch,2016,,,,,
Brad,Fritsch,2017,,,71.46,166440.0,
Brad,Gehl,2016,,,,,
Brad,Hopfinger,2014,,,,,
Brad,Hopfinger,2015,,,,,
Brad,Hopfinger,2016,,,,,
Brad,Hopfinger,2017,,,,,
